"Agency","X2011","X2012","X2013","X2014","X2015"
"Circuit Court",154,149,139,140,141
"City Council",88,90,87,93,96
"Civil Rights & Wage Enforce",0,0,12,12,11
"Community Relations",10,12,0,0,0
"Comptroller's Office",91,86,95,90,91
"Council Services",5,6,6,6,6
"Dept of Finance",265,281,286,288,290
"Dept of Health",941,870,957,915,958
"Dept of Public Works",2356,2327,2332,2337,2369
"Dept of Transportation",1490,1535,1576,1423,1368
"Elections",6,11,8,8,8
"Employee's Retirement Sys",27,28,29,33,32
"Enoch Pratt Free Library",442,439,475,463,473
"Fire & Police Retirement Sys Admin",21,22,22,25,27
"Fire Department",1726,1730,1640,1576,1615
"General Services",396,411,400,389,357
"Housing & Community Dev",513,533,433,446,384
"Human Resourcese",52,55,59,66,66
"Law Department",97,105,107,110,108
"Legislative Reference",6,6,5,5,5
"Liquor License Board",30,36,29,20,24
"Mayor's Office",424,401,672,687,724
"Municipal & Zoning Appeals",8,9,9,9,9
"Office of Employment Dev",224,208,195,165,162
"Orphan's Court",10,11,12,11,10
"Planning Department",47,45,47,48,50
"Police Department",3428,3475,3278,3211,3097
"Recreation & Parks",650,756,874,953,966
"Sheriff's Office",175,182,191,206,210
"Special City Services",2,2,3,4,4
"States Attorneys Office",375,362,364,358,358
"Temp Assist for Needy Families",45,50,0,0,0
"Wage Commissioner",3,0,0,0,0
"War Memorial Commission",4,4,0,0,0
"Youth Cust",328,29,6,0,0
"Youth Summer",0,1755,4725,4819,0
"Youth Temp Adult",18,31,67,69,0
